Team,Score
Amherst G,6.9
Chicopee G,6.3
Easthampton G,5.5
Frontier G,5.1
South Hadley G,4.9
Hampshire G,4.7
Granby G,4.4
Northampton G,4.4
Mahar G,4.4
Chic. Comp G,3.4
